time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,gpsX,gpsY,truePosX,truePosY
2.25000,6.83824,-0.23463,8.66432,0.01147,-0.14602,0.03164,-1.62566,-55.82573,45.51289,-55.01680,45.55842,-0.01
2.30000,1.84305,0.04000,7.91218,0.01476,-0.09509,0.02379,-1.62689,-56.22669,45.48783,-55.43168,45.53410,-0.01
2.35000,0.88221,0.31701,7.80846,0.00959,-0.02154,0.02741,-1.62815,-56.63908,45.46240,-55.84674,45.50936,-0.02
2.40000,0.97529,0.52021,8.60203,0.00619,0.02853,0.03665,-1.62977,-57.05301,45.43636,-56.26280,45.48396,-0.02
2.45000,0.51462,0.49876,9.56604,0.00326,0.04940,0.03922,-1.63172,-57.46897,45.40912,-56.67936,45.45760,-0.01
2.50000,0.12528,0.30389,10.16404,-0.00205,0.04469,0.03388,-1.63356,-57.88610,45.38046,-57.09587,45.43023,0.02
2.55000,-0.88094,0.62457,15.91593,-0.02739,0.16740,-0.00252,-1.63440,-58.30337,45.35085,-57.51027,45.40022,0.01
2.60000,2.69439,-1.04118,9.48263,-0.03563,0.11948,-0.01385,-1.63300,-58.71932,45.32015,-57.92871,45.36970,0.00
2.65000,-0.85980,-0.67018,8.59636,-0.01379,0.09358,-0.00728,-1.63267,-59.13952,45.29051,-58.34616,45.34214,0.00
2.70000,-0.61154,-0.37858,7.82029,0.00954,0.04328,-0.00643,-1.63230,-59.55906,45.26260,-58.76289,45.31518,-0.00
2.75000,-0.65804,-0.07551,7.92970,0.01697,-0.00405,-0.00249,-1.63208,-59.97703,45.23597,-59.17886,45.28866,0.00
2.80000,-0.44401,0.06714,8.65675,0.01276,-0.03572,-0.00262,-1.63198,-60.39341,45.20991,-59.59416,45.26214,0.00
2.85000,-0.14628,0.09716,9.49270,0.00384,-0.04703,-0.00272,-1.63184,-60.80844,45.18382,-60.00917,45.23553,0.00
2.90000,0.12153,0.04463,10.08726,-0.00235,-0.04067,-0.00390,-1.63167,-61.22276,45.15758,-60.42421,45.20884,-0.00
2.95000,0.28289,0.08657,10.43751,-0.00329,-0.02383,0.00148,-1.63159,-61.63704,45.13116,-60.83950,45.18225,-0.01
